Feed Stable ID,Catalog ID,Feature
mdb-617,us-california-guadalupe-flyer-gtfs-617,Fares V1
mdb-617,us-california-guadalupe-flyer-gtfs-617,Fare Products
mdb-617,us-california-guadalupe-flyer-gtfs-617,Shapes
mdb-617,us-california-guadalupe-flyer-gtfs-617,Feed Information
mdb-617,us-california-guadalupe-flyer-gtfs-617,Zone-Based Fares
mdb-617,us-california-guadalupe-flyer-gtfs-617,Route Colors
mdb-617,us-california-guadalupe-flyer-gtfs-617,Headsigns
mdb-617,us-california-guadalupe-flyer-gtfs-617,Wheelchair Accessibility
mdb-617,us-california-guadalupe-flyer-gtfs-617,Location Types
mdb-617,us-california-guadalupe-flyer-gtfs-617,Continuous Stops
mdb-1988,fr-hauts-de-france-communaute-d'agglomeration-amiens-metropole-gtfs-1988,Headsigns
mdb-1988,fr-hauts-de-france-communaute-d'agglomeration-amiens-metropole-gtfs-1988,Wheelchair Accessibility
mdb-1997,ca-alberta-lethbridge-transit-gtfs-1997,Transfers
mdb-1997,ca-alberta-lethbridge-transit-gtfs-1997,Shapes
mdb-1997,ca-alberta-lethbridge-transit-gtfs-1997,Route Colors
mdb-1997,ca-alberta-lethbridge-transit-gtfs-1997,Headsigns
mdb-1997,ca-alberta-lethbridge-transit-gtfs-1997,Location Types
mdb-419,us-rhode-island-vineyard-fast-ferry-gtfs-419,Fares V1
mdb-419,us-rhode-island-vineyard-fast-ferry-gtfs-419,Shapes
mdb-419,us-rhode-island-vineyard-fast-ferry-gtfs-419,Feed Information
mdb-419,us-rhode-island-vineyard-fast-ferry-gtfs-419,Headsigns
mdb-419,us-rhode-island-vineyard-fast-ferry-gtfs-419,Wheelchair Accessibility
mdb-419,us-rhode-island-vineyard-fast-ferry-gtfs-419,Location Types
mdb-419,us-rhode-island-vineyard-fast-ferry-gtfs-419,Continuous Stops
mdb-2005,fr-pays-de-la-loire-impulsyon-gtfs-2005,Shapes
mdb-2005,fr-pays-de-la-loire-impulsyon-gtfs-2005,Feed Information
mdb-2005,fr-pays-de-la-loire-impulsyon-gtfs-2005,Route Colors
mdb-2005,fr-pays-de-la-loire-impulsyon-gtfs-2005,Headsigns
mdb-2005,fr-pays-de-la-loire-impulsyon-gtfs-2005,Wheelchair Accessibility
mdb-2005,fr-pays-de-la-loire-impulsyon-gtfs-2005,Bikes Allowance
mdb-2005,fr-pays-de-la-loire-impulsyon-gtfs-2005,Location Types
mdb-1989,fr-hauts-de-france-communaute-d'agglomeration-du-pays-de-saint-omer-gtfs-1989,Shapes
mdb-1989,fr-hauts-de-france-communaute-d'agglomeration-du-pays-de-saint-omer-gtfs-1989,Route Colors
mdb-1989,fr-hauts-de-france-communaute-d'agglomeration-du-pays-de-saint-omer-gtfs-1989,Headsigns
mdb-1989,fr-hauts-de-france-communaute-d'agglomeration-du-pays-de-saint-omer-gtfs-1989,Wheelchair Accessibility
mdb-1989,fr-hauts-de-france-communaute-d'agglomeration-du-pays-de-saint-omer-gtfs-1989,Location Types
mdb-2006,fr-rhone-transports-en-commun-lyonnais-tcl-gtfs-2006,Transfers
mdb-2006,fr-rhone-transports-en-commun-lyonnais-tcl-gtfs-2006,Route Colors
mdb-2006,fr-rhone-transports-en-commun-lyonnais-tcl-gtfs-2006,Headsigns
mdb-2006,fr-rhone-transports-en-commun-lyonnais-tcl-gtfs-2006,Wheelchair Accessibility
mdb-2006,fr-rhone-transports-en-commun-lyonnais-tcl-gtfs-2006,Location Types
mdb-1986,us-california-santa-rosa-citybus-gtfs-1986,Fares V1
mdb-1986,us-california-santa-rosa-citybus-gtfs-1986,Shapes
mdb-1986,us-california-santa-rosa-citybus-gtfs-1986,Feed Information
mdb-1986,us-california-santa-rosa-citybus-gtfs-1986,Route Colors
mdb-1986,us-california-santa-rosa-citybus-gtfs-1986,Headsigns
mdb-1986,us-california-santa-rosa-citybus-gtfs-1986,Wheelchair Accessibility
mdb-1986,us-california-santa-rosa-citybus-gtfs-1986,Bikes Allowance
mdb-1986,us-california-santa-rosa-citybus-gtfs-1986,Location Types
mdb-444,us-massachusetts-lowell-regional-transit-authority-lrta-gtfs-444,Fares V1
