Feed Stable ID,Catalog ID,Code,Counter,Severity
mdb-617,us-california-guadalupe-flyer-gtfs-617,stop_without_stop_time,1,WARNING
mdb-617,us-california-guadalupe-flyer-gtfs-617,unknown_column,37,INFO
mdb-617,us-california-guadalupe-flyer-gtfs-617,unknown_file,10,INFO
mdb-1988,fr-hauts-de-france-communaute-d'agglomeration-amiens-metropole-gtfs-1988,expired_calendar,47,WARNING
mdb-1988,fr-hauts-de-france-communaute-d'agglomeration-amiens-metropole-gtfs-1988,fast_travel_between_consecutive_stops,38,WARNING
mdb-1988,fr-hauts-de-france-communaute-d'agglomeration-amiens-metropole-gtfs-1988,invalid_row_length,1,ERROR
mdb-1988,fr-hauts-de-france-communaute-d'agglomeration-amiens-metropole-gtfs-1988,missing_recommended_column,1,WARNING
mdb-1988,fr-hauts-de-france-communaute-d'agglomeration-amiens-metropole-gtfs-1988,missing_recommended_file,1,WARNING
mdb-1988,fr-hauts-de-france-communaute-d'agglomeration-amiens-metropole-gtfs-1988,mixed_case_recommended_field,6807,WARNING
mdb-1988,fr-hauts-de-france-communaute-d'agglomeration-amiens-metropole-gtfs-1988,stop_without_stop_time,4,WARNING
mdb-1997,ca-alberta-lethbridge-transit-gtfs-1997,leading_or_trailing_whitespaces,1,WARNING
mdb-1997,ca-alberta-lethbridge-transit-gtfs-1997,missing_recommended_file,1,WARNING
mdb-419,us-rhode-island-vineyard-fast-ferry-gtfs-419,missing_bike_allowance,91,WARNING
mdb-419,us-rhode-island-vineyard-fast-ferry-gtfs-419,stop_without_stop_time,2,WARNING
mdb-419,us-rhode-island-vineyard-fast-ferry-gtfs-419,trip_coverage_not_active_for_next7_days,1,WARNING
mdb-419,us-rhode-island-vineyard-fast-ferry-gtfs-419,unknown_column,37,INFO
mdb-419,us-rhode-island-vineyard-fast-ferry-gtfs-419,unknown_file,10,INFO
mdb-2005,fr-pays-de-la-loire-impulsyon-gtfs-2005,expired_calendar,27,WARNING
mdb-2005,fr-pays-de-la-loire-impulsyon-gtfs-2005,missing_feed_contact_email_and_url,1,WARNING
mdb-2005,fr-pays-de-la-loire-impulsyon-gtfs-2005,missing_recommended_column,1,WARNING
mdb-1989,fr-hauts-de-france-communaute-d'agglomeration-du-pays-de-saint-omer-gtfs-1989,block_trips_with_overlapping_stop_times,22,ERROR
mdb-1989,fr-hauts-de-france-communaute-d'agglomeration-du-pays-de-saint-omer-gtfs-1989,missing_recommended_column,1,WARNING
