Feed ID,Dataset ID,Service Date Range Start,Service Date Range End
tfs-410,anaheim-resort-transportation/410/20230110,20201218,20240104
tfs-410,anaheim-resort-transportation/410/20220915,20201218,20230915
tfs-410,anaheim-resort-transportation/410/20210319,20190622,20220101
tfs-410,anaheim-resort-transportation/410/20210217-3,20190622,20220101
tfs-410,anaheim-resort-transportation/410/20210217-2,20190622,20220101
tfs-410,anaheim-resort-transportation/410/20210217,20190622,20220101
tfs-410,anaheim-resort-transportation/410/20210126,20190622,20220101
tfs-410,anaheim-resort-transportation/410/20201223,20190622,20220101
tfs-410,anaheim-resort-transportation/410/20201119,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20201023,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200929,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200911,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200818,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200729,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200626,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200519,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200408,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200317,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200316,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200314,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200311,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200228,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200227,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200225,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200222,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200210,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200130,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200124,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200103,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20200101,20190622,20210101
tfs-410,anaheim-resort-transportation/410/20191231,20190622,20200111
tfs-410,anaheim-resort-transportation/410/20191218,20190622,20200111
tfs-410,anaheim-resort-transportation/410/20191202,20190622,20200111
tfs-410,anaheim-resort-transportation/410/20191113,20190622,20200101
tfs-410,anaheim-resort-transportation/410/20191025,20190622,20200101
tfs-410,anaheim-resort-transportation/410/20191015,20190622,20200101
tfs-410,anaheim-resort-transportation/410/20191003,20190622,20200101
tfs-410,anaheim-resort-transportation/410/20190926,20190622,20200101
tfs-410,anaheim-resort-transportation/410/20190912,20190622,20200101
tfs-410,anaheim-resort-transportation/410/20190907,20190622,20200101
tfs-410,anaheim-resort-transportation/410/20190830,20190622,20200101
tfs-410,anaheim-resort-transportation/410/20190822,20190622,20200101
tfs-410,anaheim-resort-transportation/410/20190821,20190622,20200101
tfs-410,anaheim-resort-transportation/410/20190812,20190622,20200101
tfs-410,anaheim-resort-transportation/410/20190807,20190622,20200101
tfs-410,anaheim-resort-transportation/410/20190806,20190622,20200101
tfs-410,anaheim-resort-transportation/410/20190724,20190622,20200101
tfs-410,anaheim-resort-transportation/410/20190710,20190622,20200101
tfs-410,anaheim-resort-transportation/410/20190705,20190622,20200101
tfs-410,anaheim-resort-transportation/410/20190623,20190622,20200101
tfs-410,anaheim-resort-transportation/410/20190619,20181018,20200101
tfs-410,anaheim-resort-transportation/410/20190531,20181018,20200101
tfs-410,anaheim-resort-transportation/410/20190520,20181018,20200101
tfs-410,anaheim-resort-transportation/410/20190420,20181018,20200101
tfs-410,anaheim-resort-transportation/410/20190320,20181018,20200101
tfs-410,anaheim-resort-transportation/410/20190225,20181018,20200101
tfs-410,anaheim-resort-transportation/410/20190217-2,20181018,20200101
tfs-410,anaheim-resort-transportation/410/20190217,20181018,20200101
tfs-410,anaheim-resort-transportation/410/20190206,20181018,20200101
tfs-410,anaheim-resort-transportation/410/20190131,20181018,20200101
tfs-410,anaheim-resort-transportation/410/20190129,20181018,20200101
tfs-410,anaheim-resort-transportation/410/20190124,20181018,20200101
tfs-410,anaheim-resort-transportation/410/20190118,20181018,20200101
tfs-410,anaheim-resort-transportation/410/20190115,20181018,20200101
tfs-410,anaheim-resort-transportation/410/20181216,20181018,20200101
tfs-410,anaheim-resort-transportation/410/20181119,20181018,20190101
tfs-410,anaheim-resort-transportation/410/20181112,20181018,20190101
tfs-410,anaheim-resort-transportation/410/20181025,20181018,20190101
tfs-410,anaheim-resort-transportation/410/20181024,20181018,20190101
tfs-410,anaheim-resort-transportation/410/20181019,20181018,20190101
tfs-410,anaheim-resort-transportation/410/20181005,20181003,20190101
tfs-410,anaheim-resort-transportation/410/20180912,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180831,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180816,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180810,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180803,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180708,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180629,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180609,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180506,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180426,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180412,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180409,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180405,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180319,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180309,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180302,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180225,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180221,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180217,20170101,20190101
tfs-410,anaheim-resort-transportation/410/20180214,20150101,20190101
tfs-410,anaheim-resort-transportation/410/20180209,20150101,20190101
tfs-410,anaheim-resort-transportation/410/20180119,20150101,20190101
tfs-410,anaheim-resort-transportation/410/20180118,20150101,20190101
tfs-410,anaheim-resort-transportation/410/20171230,20150101,20190101
tfs-410,anaheim-resort-transportation/410/20171222,20150101,20190101
tfs-410,anaheim-resort-transportation/410/20171203,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20171128,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20171116,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20171107,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20171021,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20171018,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20171001,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170928,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170924,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170907-2,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170907,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170906,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170815,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170731,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170722,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170707,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170621,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170601,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170531,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170510,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170420,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170411,20150101,20180101
tfs-410,anaheim-resort-transportation/410/20170407,20150101,20180101
