Weblink	Agency Name	NTD ID	Status
https://metro.kingcounty.gov/GTFS/google_transit.zip	King County	1	TRUE
https://prod.piercetransit.org/GTFS/gtfs.zip	Pierce County Transportation Benefit Area Authority	3	TRUE
https://everett.mapstrat.com/current/google_transit.zip	City of Everett	5	TRUE
https://developer.trimet.org/schedule/gtfs.zip	Tri-County Metropolitan Transportation District of Oregon	8	TRUE
https://rapid.nationalrtap.org/GTFSFileManagement/UserUploadFiles/11851/TheKlamathTribesGTFS.zip	Klamath Tribes	10	TRUE
https://gtfs.muni.org/People_Mover.gtfs.zip	Municipality of Anchorage	12	TRUE
https://raw.githubusercontent.com/Seattle-Monorail-Services/gtfs/main/96_gtfs.zip	City of Seattle	23	TRUE
https://c-tran.com/images/Google/GoogleTransitUpload.zip	Clark County Public Transportation Benefit Area Authority	24	TRUE
https://www.communitytransit.org/docs/default-source/open-data/gtfs/current.zip?sfvrsn=988306d7_35	Snohomish County Public Transportation Benefit Area Corporation	29	TRUE
https://data.trilliumtransit.com/gtfs/rvtd-or-us/rvtd-or-us.zip	Rogue Valley Transportation District	34	TRUE
https://www.soundtransit.org/GTFS-KCM/google_transit.zip	Central Puget Sound Regional Transit Authority	40	TRUE
https://www.soundtransit.org/GTFS-PT/gtfs.zip	Central Puget Sound Regional Transit Authority	40	TRUE
https://www.soundtransit.org/GTFS-CT/current.zip	Central Puget Sound Regional Transit Authority	40	TRUE
https://www.soundtransit.org/GTFS-rail/40_gtfs.zip	Central Puget Sound Regional Transit Authority	40	TRUE
https://www.alaskarailroad.com/sites/default/files/GTFS/GTFS-20240419.zip	Alaska Railroad Corporation	41	TRUE
https://mysmartbus.com/gtfs	City of Wilsonville	46	TRUE
https://oregon-gtfs.trilliumtransit.com/gtfs_data/cascadeseast-or-us/cascadeseast-or-us.zip	Central Oregon Intergovernmental Council	57	TRUE
https://bat.bentoncountyor.gov/wp-content/uploads/2024/01/benton-or-us.zip	Benton County	65	TRUE
https://pullmanbusbeacon.com/gtfs	City of Pullman	294	TRUE
https://mjcaction.com/MJC_GTFS_Public/clallam_google_transit.zip	Clallam Transit System	303	TRUE
https://mjcaction.com/MJC_GTFS_Public/centraltransit_google_transit.zip	Hopesource	312	TRUE
https://mjcaction.com/MJC_GTFS_Public/graysharbor_google_transit.zip	Grays Harbor Transit	314	TRUE
https://mjcaction.com/MJC_GTFS_Public/jefferson_google_transit.zip	Jefferson Transit	316	TRUE
